sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,jitter
DINT,2,0.25,60.0,122,0.11949176039654351,7892,"{'h3': 1.5542514198408905, 'h1': 1.365779036863398, 'h4': 1.7367969574003344}"
LINT,2,0.25,60.0,204,0.10745492640282453,12966,"{'h3': 1.9985638710379494, 'h1': 1.7287100449488417, 'h4': 2.3741142897956116}"
sINT,2,0.25,60.0,64,0.2372108565382061,2852,"{'h1': 1.0863486359805736, 'h4': 2.0193348721146807, 'h3': 1.1950194782962007}"
static,2,0.25,60.0,213,0.09844250942142331,13447,"{'h4': 1.1730088576983149, 'h3': 0.9211392800364563, 'h1': 0.8719262770688163}"
DINT,2,0.25,60.0,129,0.11941844423688536,8302,"{'h3': 1.498565328110645, 'h1': 1.2977428756721519, 'h4': 1.4422743558434667}"
LINT,2,0.25,60.0,204,0.11057460334518358,13043,"{'h3': 1.8221356683939633, 'h1': 1.653434340669255, 'h4': 1.7670143795552227}"
sINT,2,0.25,60.0,64,0.2277953933173591,2852,"{'h1': 0.6815517319360731, 'h4': 0.9367506382829053, 'h3': 0.7707665109226847}"
static,2,0.25,60.0,212,0.09166420793928337,13438,"{'h4': 1.6465092782920363, 'h3': 1.242236124179794, 'h1': 1.2199926519824367}"
DINT,2,0.25,60.0,127,0.12338707109196898,7865,"{'h3': 1.4765049692384973, 'h1': 1.3192904031384314, 'h4': 1.859276532677832}"
LINT,2,0.25,60.0,204,0.10144162134247525,12950,"{'h3': 1.2417585843437862, 'h1': 0.9100343303431718, 'h4': 1.2165227178799902}"
sINT,2,0.25,60.0,64,0.22884846250947677,2852,"{'h1': 0.7376202728707668, 'h4': 1.4147650724076957, 'h3': 0.6679263116334555}"
static,2,0.25,60.0,213,0.09066448807066144,13535,"{'h4': 0.9728245815988315, 'h3': 0.8960244510154824, 'h1': 0.8782511250066423}"
